Id,y,x1,x2,x3,x4,x5
0,0,0.019999999999999907,0.04999999999999993,-0.09000000000000008,-0.43000000000000005,-0.08000000000000007
1,0,-0.13000000000000006,0.10999999999999999,-0.08000000000000007,-0.29000000000000004,-0.030000000000000027
2,0,0.07999999999999996,0.05999999999999994,-0.07000000000000006,-0.41000000000000003,-0.030000000000000027
3,0,0.019999999999999907,-0.12000000000000005,0.009999999999999898,-0.43000000000000005,-0.020000000000000018
4,1,-0.14000000000000007,-0.12000000000000005,-0.08000000000000007,-0.020000000000000018,-0.08000000000000007
5,1,-0.050000000000000044,-0.16000000000000003,0.0,-0.39,-0.07000000000000006
6,0,-0.06000000000000005,-0.020000000000000018,-0.08000000000000007,0.08999999999999997,-0.030000000000000027
7,0,-0.08000000000000007,-0.11000000000000004,0.029999999999999916,-0.36000000000000004,0.019999999999999907
8,1,-0.010000000000000009,-0.06000000000000005,0.09999999999999998,-0.20000000000000007,-0.07000000000000006
9,0,-0.16000000000000003,-0.17000000000000004,0.039999999999999925,-0.41000000000000003,0.019999999999999907
10,1,-0.13000000000000006,-0.17000000000000004,-0.020000000000000018,-0.3500000000000001,-0.030000000000000027
11,1,-0.14000000000000007,-0.19000000000000006,0.029999999999999916,-0.36000000000000004,-0.040000000000000036
12,1,-0.16000000000000003,-0.14000000000000007,0.009999999999999898,-0.21000000000000008,-0.030000000000000027
13,1,0.039999999999999925,-0.16000000000000003,-0.040000000000000036,-0.10000000000000003,-0.030000000000000027
14,0,0.09999999999999998,-0.010000000000000009,-0.11000000000000004,-0.37000000000000005,-0.10000000000000003
15,1,-0.10000000000000003,-0.12000000000000005,-0.040000000000000036,-0.45000000000000007,-0.06000000000000005
16,1,-0.09000000000000008,-0.17000000000000004,-0.06000000000000005,-0.45000000000000007,-0.07000000000000006
17,0,0.019999999999999907,-0.09000000000000008,-0.020000000000000018,-0.45000000000000007,-0.050000000000000044
18,1,-0.06000000000000005,-0.22000000000000003,-0.010000000000000009,-0.3500000000000001,-0.07000000000000006
19,0,0.04999999999999993,0.039999999999999925,-0.010000000000000009,-0.3500000000000001,-0.06000000000000005
20,1,-0.11000000000000004,-0.16000000000000003,-0.06000000000000005,-0.4,-0.06000000000000005
21,0,-0.13000000000000006,-0.12000000000000005,-0.08000000000000007,-0.3400000000000001,-0.050000000000000044
22,0,0.16999999999999993,0.06999999999999995,-0.14000000000000007,-0.26000000000000006,-0.07000000000000006
23,0,-0.13000000000000006,-0.030000000000000027,-0.040000000000000036,-0.43000000000000005,-0.010000000000000009
24,0,-0.10000000000000003,-0.030000000000000027,-0.040000000000000036,-0.41000000000000003,0.019999999999999907
25,0,-0.050000000000000044,-0.050000000000000044,-0.040000000000000036,-0.050000000000000044,-0.020000000000000018
26,0,0.029999999999999916,-0.11000000000000004,-0.030000000000000027,-0.37000000000000005,0.029999999999999916
27,1,0.009999999999999898,-0.09000000000000008,0.039999999999999925,-0.38000000000000006,-0.050000000000000044
